"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 04:10:05 UTC 2023","Wed Dec 27 04:10:22 UTC 2023","17127","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Dec 27 03:14:55 UTC 2023","Wed Dec 27 03:15:39 UTC 2023","44539","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Dec 27 02:42:52 UTC 2023","Wed Dec 27 02:42:55 UTC 2023","2191","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Dec 27 03:11:59 UTC 2023","Wed Dec 27 03:12:01 UTC 2023","1638","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Dec 27 02:45:44 UTC 2023","Wed Dec 27 02:46:02 UTC 2023","17716","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Dec 27 04:11:10 UTC 2023","Wed Dec 27 04:11:13 UTC 2023","3045","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Dec 27 02:37:53 UTC 2023","Wed Dec 27 02:38:05 UTC 2023","12699","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Dec 27 02:49:08 UTC 2023","Wed Dec 27 02:49:18 UTC 2023","10443","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Dec 27 04:13:41 UTC 2023","Wed Dec 27 04:14:47 UTC 2023","65397","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Dec 27 03:03:32 UTC 2023","Wed Dec 27 03:03:49 UTC 2023","17015","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Dec 27 02:47:05 UTC 2023","Wed Dec 27 02:47:08 UTC 2023","2317","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Dec 27 02:38:05 UTC 2023","Wed Dec 27 02:38:08 UTC 2023","2701","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Dec 27 03:03:32 UTC 2023","Wed Dec 27 03:03:32 UTC 2023","212","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Dec 27 03:11:30 UTC 2023","Wed Dec 27 03:11:33 UTC 2023","2571","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Dec 27 04:21:54 UTC 2023","Wed Dec 27 04:22:03 UTC 2023","9010","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed Dec 27 03:17:48 UTC 2023","Wed Dec 27 03:17:59 UTC 2023","11341","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Dec 27 03:33:16 UTC 2023","Wed Dec 27 03:33:31 UTC 2023","14726","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Dec 27 02:46:02 UTC 2023","Wed Dec 27 02:46:10 UTC 2023","8193","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Wed Dec 27 04:21:51 UTC 2023","Wed Dec 27 04:21:54 UTC 2023","2946","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Dec 27 03:33:31 UTC 2023","Wed Dec 27 03:37:42 UTC 2023","251176","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Dec 27 02:49:35 UTC 2023","Wed Dec 27 02:49:45 UTC 2023","9925","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Dec 27 03:42:33 UTC 2023","Wed Dec 27 03:42:34 UTC 2023","858","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Dec 27 02:49:34 UTC 2023","Wed Dec 27 02:49:35 UTC 2023","1555","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Dec 27 02:46:45 UTC 2023","Wed Dec 27 02:47:05 UTC 2023","20544","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
